GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
coffee-machine,fr.imt.coffee.machine,EspressoCoffeeMachine,76,55,12,6,16,10,8,3,0,2
coffee-machine,fr.imt.coffee.machine,CoffeeMachine,105,144,8,10,29,36,16,14,10,11
coffee-machine,fr.imt.coffee,MainEspresso,103,0,0,0,32,0,3,0,3,0
coffee-machine,fr.imt.coffee,MainCoffee,109,0,0,0,34,0,3,0,3,0
coffee-machine,fr.imt.coffee.machine.component,BeanTank,4,19,0,0,2,7,1,3,1,3
coffee-machine,fr.imt.coffee.machine.component,WaterPump,30,10,0,0,8,4,2,2,2,2
coffee-machine,fr.imt.coffee.machine.component,WaterTank,0,6,0,0,0,2,0,1,0,1
coffee-machine,fr.imt.coffee.machine.component,Tank,13,22,0,0,4,8,3,3,3,3
coffee-machine,fr.imt.coffee.machine.component,SteamPipe,11,6,0,0,5,3,3,1,3,1
coffee-machine,fr.imt.coffee.machine.component,ElectricalResistance,3,38,0,0,1,10,1,3,1,3
coffee-machine,fr.imt.coffee.machine.component,CoffeeGrinder,22,10,0,0,6,4,1,2,1,2
coffee-machine,fr.imt.coffee.machine.exception,CannotMakeCremaWithSimpleCoffeeMachine,0,4,0,0,0,2,0,1,0,1
coffee-machine,fr.imt.coffee.machine.exception,CoffeeTypeCupDifferentOfCoffeeTypeTankException,0,4,0,0,0,2,0,1,0,1
coffee-machine,fr.imt.coffee.machine.exception,MachineNotPluggedException,4,0,0,0,2,0,1,0,1,0
coffee-machine,fr.imt.coffee.machine.exception,LackOfWaterInTankException,4,0,0,0,2,0,1,0,1,0
